system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
00000000000000001602_0,Alagoas,666,262.4566665738821,582.8000011444092,19.903989907992653,44.197945103029,32.25555115823341,-9.275105308534059,-35.46099584061811,Passo De Camaragibe,6424,1318.6133422851562,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001603_0,Alagoas,666,313.72999881207943,420.03334081172943,24.373121039957503,32.63163706112197,18.007764437147472,-9.364936836946011,-36.404226888943604,Paulo Jacinto,6425,1287.1966552734375,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001604_0,Alagoas,666,458.40333580970764,207.53333401679993,33.536881239593235,15.183180907451984,-4.9389478363039565,-10.218336356859556,-36.49405841735556,Penedo,6426,1366.8633422851562,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001605_0,Alagoas,666,438.61000418663025,207.23333406448364,31.79139628532961,15.020717685159719,-4.054120086038049,-10.397999413683461,-36.404226888943604,Piacabucu,6427,1379.650016784668,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001606_0,Alagoas,666,327.4266695380211,429.4666665792465,24.721211093916683,32.4253859262171,17.592659269867095,-9.589515657975891,-35.99998501108982,Pilar,6428,1324.4766540527344,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001607_0,Alagoas,666,331.5233351290226,370.4666676521301,25.44464246422865,28.433569841031247,13.166784362494058,-9.49968412956394,-36.26947959632568,Pindoba,6429,1302.9199981689453,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001608_0,Alagoas,666,955.6233406066895,25.833333492279053,66.14729486129754,1.7881575879877105,-37.90021932879081,-9.544599893769915,-37.706784050916916,Piranhas,6430,1444.6899795532227,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001609_0,Alagoas,666,752.5100064277649,43.63333371281624,55.55506421743648,3.221289598451383,-30.1117489320105,-9.320021072740035,-37.347457937269105,Poco Das Trincheiras,6431,1354.5299911499023,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160a_0,Alagoas,666,311.2733333706856,483.4999933242798,23.094177665453554,35.872121219517524,22.015614620245394,-9.005610723298203,-35.416080076412136,Porto Calvo,6432,1347.8433303833008,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160b_0,Alagoas,666,278.3566653430462,525.8999947309494,21.175912494636048,40.007708296216485,27.30216079943486,-9.140358015916132,-35.416080076412136,Porto De Pedras,6433,1314.4966735839844,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160c_0,Alagoas,666,625.6666725873947,112.16666573286057,44.7091050010603,8.015244307533106,-18.810218693103074,-10.128504828447605,-36.71863723838544,Porto Real Do Colegio,6434,1399.4166793823242,C1,7,b2',A',d,C1dA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160d_0,Alagoas,666,321.1433361172676,415.33333933353424,24.804586937649535,32.079668998148044,17.196916835558323,-9.320021072740035,-36.49405841735556,Quebrangulo,6435,1294.693344116211,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
