code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
2708006.0,Santana do Ipanema,AL,TR-SEp,TR,7.0,SE,3.0,p,777.4433288574219,52.6666671037674,24.023195,20.775,False
2708105.0,Santana do Mundaú,AL,TR-MOv,TR,7.0,MO,4.0,v,313.3033258765936,406.7333285808563,23.40611,21.066668,False
2708204.0,São Brás,AL,TR-SEv,TR,7.0,SE,3.0,v,755.1766741275787,63.13333284854889,25.561527,22.721666,False
2708303.0,São José da Laje,AL,TR-MOv,TR,7.0,MO,4.0,v,345.67333313822746,362.599994301796,22.95514,20.666666,False
2708402.0,São José da Tapera,AL,TR-SEp,TR,7.0,SE,3.0,p,902.2333364486694,25.633333534002304,24.574305,21.178333,False
2708501.0,São Luís do Quitunde,AL,TR-MOv,TR,7.0,MO,4.0,v,310.2566715106368,569.5666640996933,24.031944,22.091667,False
2708600.0,São Miguel dos Campos,AL,TR-MOv,TR,7.0,MO,4.0,v,394.9799928367138,282.9333344697952,24.05,21.698334,False
2708709.0,São Miguel dos Milagres,AL,TR-MOp,TR,7.0,MO,4.0,p,285.27999967336655,511.50000607967377,24.50361,22.866667,False
2708808.0,São Sebastião,AL,TR-SEv,TR,7.0,SE,3.0,v,528.5466623306274,118.09999871253969,23.97611,21.346666,False
2708907.0,Satuba,AL,TR-MOv,TR,7.0,MO,4.0,v,268.23000222444534,613.5666613578796,24.204584,22.095,False
2708956.0,Senador Rui Palmeira,AL,TR-SEp,TR,7.0,SE,3.0,p,856.7966642379761,28.26666635274887,24.094723,20.663334,False
2709004.0,Tanque d'Arca,AL,TR-SEv,TR,7.0,SE,3.0,v,451.7966679930687,167.06666654348373,23.82611,21.293333,False
2709103.0,Taquarana,AL,TR-SEv,TR,7.0,SE,3.0,v,534.8333340883255,100.76666766405106,23.566944,20.971666,False
2709152.0,Teotônio Vilela,AL,TR-SEv,TR,7.0,SE,3.0,v,499.87333619594574,151.0000021457672,24.113195,21.638334,False
2709202.0,Traipu,AL,TR-SEp,TR,7.0,SE,3.0,p,810.9166569709778,51.5,24.828194,21.853333,False
2709301.0,União dos Palmares,AL,TR-MOv,TR,7.0,MO,4.0,v,300.2066646181047,439.9666795730591,22.75625,20.555,False
2709400.0,Viçosa,AL,TR-MOv,TR,7.0,MO,4.0,v,307.4600016772747,420.6000064611435,23.085,20.710001,False
2800100.0,Amparo do São Francisco,SE,TR-SEv,TR,7.0,SE,3.0,v,768.2799994945526,70.1666671037674,25.479584,22.555,True
2800209.0,Aquidabã,SE,TR-SEv,TR,7.0,SE,3.0,v,715.406668305397,122.16666334867476,24.457083,21.578333,False
2800308.0,Aracaju,SE,TR-MOv,TR,7.0,MO,4.0,v,459.4400040539913,325.99999940395355,25.994862,24.173334,False
2800407.0,Arauá,SE,TR-MOv,TR,7.0,MO,4.0,v,461.7199976742268,251.8000018596649,24.838749,22.523333,False
2800506.0,Areia Branca,SE,TR-MOv,TR,7.0,MO,4.0,v,491.7233344614506,397.66665959358215,23.74875,21.411667,False
