code_muni,name_muni,abbrev_state,classe_koppen,classe_koppen_codigo,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,preenchido_por_vizinho
2805109.0,Pedrinhas,SE,As,3.0,1136.5666666666666,39.13333333333333,24.441944444444445,22.03166666666667,26.33166666666666,False
2805208.0,Pinhão,SE,As,3.0,652.5,23.866666666666667,23.72,20.91166666666667,25.82333333333333,False
2805307.0,Pirambu,SE,As,3.0,1213.1000000000004,27.9,25.45319444444445,23.27,27.18833333333333,False
2805406.0,Poço Redondo,SE,BSh,5.0,491.56666666666666,9.766666666666667,24.84833333333333,21.48166666666667,27.063333333333325,False
2805505.0,Poço Verde,SE,As,3.0,621.6,21.33333333333333,23.868749999999995,21.08833333333333,25.918333333333333,False
2805604.0,Porto da Folha,SE,As,3.0,549.3000000000001,13.033333333333331,24.96388888888889,21.675,27.209999999999997,False
2805703.0,Propriá,SE,As,3.0,835.9,18.633333333333333,25.481388888888887,22.68666666666667,27.600000000000005,False
2805802.0,Riachão do Dantas,SE,As,3.0,847.5000000000001,33.1,23.894583333333333,21.311666666666667,25.915000000000003,False
2805901.0,Riachuelo,SE,As,3.0,1247.4333333333336,34.63333333333333,25.2825,23.036666666666665,27.131666666666664,False
2806008.0,Ribeirópolis,SE,As,3.0,727.1666666666666,23.866666666666667,23.874305555555555,21.13166666666667,25.995,False
2806107.0,Rosário do Catete,SE,As,3.0,1287.5333333333333,29.866666666666667,25.51125,23.31833333333334,27.29833333333334,False
2806206.0,Salgado,SE,As,3.0,1309.7666666666669,42.833333333333336,24.839027777777776,22.52833333333334,26.66833333333333,False
2806305.0,Santa Luzia do Itanhy,SE,As,3.0,1352.666666666667,40.266666666666666,24.89902777777778,22.66,26.705,False
2806404.0,Santana do São Francisco,SE,As,3.0,1016.0,22.6,24.78583333333334,22.23833333333333,26.770000000000003,False
2806503.0,Santa Rosa de Lima,SE,As,3.0,1065.8666666666668,32.46666666666667,24.35666666666667,21.883333333333333,26.315,False
2806602.0,Santo Amaro das Brotas,SE,As,3.0,1300.433333333333,29.566666666666663,25.632083333333338,23.581666666666667,27.29166666666667,False
2806701.0,São Cristóvão,SE,As,3.0,1435.5333333333333,38.8,25.318888888888893,23.295000000000005,26.98,False
2806800.0,São Domingos,SE,As,3.0,1028.5333333333333,35.733333333333334,24.332916666666662,21.84,26.335,False
2806909.0,São Francisco,SE,As,3.0,896.0000000000001,21.366666666666667,24.99722222222222,22.293333333333333,27.076666666666668,False
2807006.0,São Miguel do Aleixo,SE,As,3.0,721.6333333333333,22.166666666666668,24.445555555555558,21.618333333333336,26.591666666666665,False
2807105.0,Simão Dias,SE,As,3.0,792.4333333333333,30.666666666666668,23.47027777777778,20.773333333333333,25.546666666666667,False
2807204.0,Siriri,SE,As,3.0,1100.3666666666666,27.73333333333333,24.67611111111111,22.251666666666672,26.63833333333333,False
2807303.0,Telha,SE,As,3.0,740.3666666666666,17.533333333333335,25.479583333333338,22.555,27.73333333333333,False
2807402.0,Tobias Barreto,SE,As,3.0,748.5999999999999,29.266666666666666,23.4975,20.820000000000004,25.563333333333336,False
2807501.0,Tomar do Geru,SE,As,3.0,834.3,32.53333333333333,24.333472222222223,21.815,26.328333333333337,False
2807600.0,Umbaúba,SE,As,3.0,1162.4,36.766666666666666,24.505138888888894,22.14666666666667,26.379999999999995,False
2900108.0,Abaíra,BA,Aw,4.0,784.3666666666667,12.8,21.02430555555556,18.633333333333333,22.649999999999995,False
2900207.0,Abaré,BA,BSh,5.0,392.8,2.2666666666666666,24.95541666666666,21.32333333333333,27.086666666666662,False
2900306.0,Acajutiba,BA,As,3.0,997.9666666666668,44.73333333333333,24.111666666666668,21.62166666666667,26.05333333333333,False
2900355.0,Adustina,BA,BSh,5.0,550.7000000000002,13.5,23.70069444444444,20.75,25.85166666666667,False
2900405.0,Água Fria,BA,As,3.0,787.2666666666667,31.966666666666665,22.89763888888889,20.27166666666667,24.770000000000003,False
2900504.0,Érico Cardoso,BA,Aw,4.0,823.5999999999999,4.0,20.602500000000003,18.26833333333333,22.37333333333333,False
2900603.0,Aiquara,BA,Af,1.0,1116.2,64.3,23.011388888888888,20.618333333333336,24.95333333333334,False
2900702.0,Alagoinhas,BA,As,3.0,1134.1333333333334,51.0,23.86930555555556,21.233333333333334,25.78166666666666,False
2900801.0,Alcobaça,BA,Af,1.0,1277.9,72.96666666666667,24.48152777777777,22.06833333333334,26.665000000000003,False
2900900.0,Almadina,BA,Af,1.0,1123.9333333333332,68.56666666666666,20.857638888888893,18.40499999999999,22.750000000000007,False
2901007.0,Amargosa,BA,As,3.0,855.8333333333333,46.5,21.58430555555556,19.215,23.47666666666667,False
2901106.0,Amélia Rodrigues,BA,As,3.0,1075.4333333333332,45.13333333333333,23.99791666666667,21.268333333333327,25.89666666666667,False
2901155.0,América Dourada,BA,BSh,5.0,500.1,3.533333333333333,22.42125,19.786666666666665,23.800000000000004,False
2901205.0,Anagé,BA,BSh,5.0,558.2333333333333,7.033333333333333,21.24180555555556,18.49333333333333,22.993333333333336,False
2901304.0,Andaraí,BA,Aw,4.0,840.0333333333334,13.966666666666669,24.108611111111117,21.573333333333327,25.59833333333334,False
2901353.0,Andorinha,BA,BSh,5.0,551.9,15.2,23.85472222222222,20.77833333333334,25.82999999999999,False
2901403.0,Angical,BA,Aw,4.0,948.0,0.1333333333333333,24.536388888888894,22.205,27.188333333333333,False
2901502.0,Anguera,BA,As,3.0,701.0333333333334,30.33333333333333,23.747361111111108,20.98,25.66333333333333,False
2901601.0,Antas,BA,As,3.0,608.5333333333333,16.2,23.16625,20.14666666666667,25.33333333333333,False
2901700.0,Antônio Cardoso,BA,As,3.0,758.2666666666665,33.3,23.86125,21.131666666666664,25.776666666666667,False
2901809.0,Antônio Gonçalves,BA,As,3.0,725.4000000000001,19.83333333333333,22.05138888888889,19.149999999999995,23.89,False
2901908.0,Aporá,BA,As,3.0,921.0666666666668,42.2,23.757083333333338,21.195,25.711666666666662,False
2901957.0,Apuarema,BA,Af,1.0,1471.7,97.53333333333332,22.42638888888889,20.125000000000004,24.345,False
2902005.0,Aracatu,BA,BSh,5.0,532.0,3.733333333333333,22.442361111111115,19.618333333333336,24.066666666666663,False
2902054.0,Araçás,BA,Am,2.0,1357.7,59.8,24.127916666666668,21.71166666666668,25.975,False
2902104.0,Araci,BA,BSh,5.0,513.3666666666667,14.2,24.245,21.385,26.37833333333333,False
2902203.0,Aramari,BA,As,3.0,1013.1333333333332,44.16666666666666,23.536666666666665,20.856666666666676,25.46833333333333,False
2902252.0,Arataca,BA,Af,1.0,1356.3666666666668,91.03333333333332,22.35333333333333,20.010000000000005,24.203333333333337,False
2902302.0,Aratuípe,BA,Af,1.0,1554.3666666666666,63.3,23.894722222222228,21.805000000000007,25.593333333333337,False
2902401.0,Aurelino Leal,BA,Af,1.0,1068.033333333333,62.43333333333333,23.711805555555557,21.453333333333333,25.58166666666666,False
2902500.0,Baianópolis,BA,Aw,4.0,963.6,0.0,23.527916666666663,21.33833333333333,26.148333333333337,False
2902609.0,Baixa Grande,BA,Aw,4.0,633.5,17.266666666666666,23.461944444444445,20.52,25.525,False
2902658.0,Banzaê,BA,As,3.0,614.1333333333333,17.8,23.680694444444445,20.72833333333333,25.81833333333333,False
2902708.0,Barra,BA,BSh,5.0,726.1333333333332,0.0,25.62333333333333,24.250000000000004,26.543333333333333,False
2902807.0,Barra da Estiva,BA,BSh,5.0,608.2333333333333,10.4,22.414444444444445,19.85,23.85,False
2902906.0,Barra do Choça,BA,Aw,4.0,837.4333333333333,38.4,21.649305555555557,18.77333333333333,23.65333333333333,True
2903003.0,Barra do Mendes,BA,BSh,5.0,561.5666666666666,1.1333333333333333,20.736944444444447,18.35833333333333,22.473333333333343,False
2903102.0,Barra do Rocha,BA,Af,1.0,1316.7333333333331,85.6,22.946250000000003,20.711666666666662,24.81,False
2903201.0,Barreiras,BA,Aw,4.0,1184.7666666666669,0.0666666666666666,24.21652777777778,22.501666666666665,26.413333333333338,False
2903235.0,Barro Alto,BA,BSh,5.0,510.1666666666667,1.8,22.71444444444444,20.11666666666667,24.323333333333338,False
2903276.0,Barrocas,BA,BSh,5.0,539.6333333333333,18.6,23.675833333333333,20.888333333333332,25.71666666666668,True
2903300.0,Barro Preto,BA,Af,1.0,1242.6,78.16666666666667,23.824583333333337,21.558333333333334,25.626666666666672,False
2903409.0,Belmonte,BA,Af,1.0,1342.1666666666667,80.43333333333334,24.05180555555556,21.785,25.973333333333333,False
2903508.0,Belo Campo,BA,BSh,5.0,662.0333333333333,4.1,22.38083333333333,19.51333333333333,24.22666666666667,False
2903607.0,Biritinga,BA,As,3.0,616.8,25.5,23.517638888888893,20.9,25.433333333333334,False
2903706.0,Boa Nova,BA,BSh,5.0,510.2000000000001,13.8,20.11680555555556,17.301666666666666,22.055,True
2903805.0,Boa Vista do Tupim,BA,Aw,4.0,658.4333333333333,15.866666666666667,22.89402777777778,20.28166666666666,24.601666666666667,False
