system:index,UF,UF_codigo_gaul,classe_koppen,classe_koppen_codigo,latitude,longitude,municipio,municipio_codigo_gaul,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,.geo
00060000000000000378_0,Minas Gerais,677,Cwa,15,-22.255761164061145,-46.37552654267029,Ouro Fino,8409,1644.2,22.733333333333334,19.725277777777777,16.096666666666664,22.045000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000379_0,Minas Gerais,677,Aw,4,-18.931994612818915,-45.477211258550774,Paineiras,8415,1282.9333333333334,5.1,22.526388888888892,19.17166666666667,24.546666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037a_0,Minas Gerais,677,Cwa,15,-20.36929906741015,-45.701790079580654,Pains,8416,1435.6333333333334,10.533333333333333,20.84069444444444,16.94333333333333,23.33666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037b_0,Minas Gerais,677,Aw,4,-17.180279808785848,-46.869599948936035,Paracatu,8422,1372.6333333333332,2.5,23.096527777777784,19.98166666666667,25.403333333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037c_0,Minas Gerais,677,Cwa,15,-21.582024700971502,-45.74670584378663,Paraguacu,8423,1573.2999999999997,19.433333333333334,20.314444444444444,16.271666666666665,22.934999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037d_0,Minas Gerais,677,Cwb,16,-22.570171513502977,-45.836537372198585,Paraisopolis,8424,1710.0,29.033333333333335,18.438333333333333,14.393333333333336,21.815000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037e_0,Minas Gerais,677,Cwa,15,-20.728625181057957,-46.60010536370017,Passos,8430,1619.9666666666667,11.166666666666666,20.995416666666667,17.244999999999997,23.28166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000037f_0,Minas Gerais,677,Aw,4,-18.617584263377083,-46.510273835288224,Patos De Minas,8432,1464.9666666666667,4.9,21.9175,19.035000000000007,23.763333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000380_0,Minas Gerais,677,Aw,4,-18.97691037702489,-47.04926300575994,Patrocinio,8433,1558.8666666666668,3.533333333333333,21.105972222222224,18.118333333333336,22.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000381_0,Minas Gerais,677,Cwa,15,-20.279467538998198,-45.20771667331492,Pedra Do Indaia,8442,1489.4,10.7,20.13777777777778,16.56833333333333,22.398333333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000382_0,Minas Gerais,677,Cwa,15,-22.255761164061145,-45.4322954943448,Pedralva,8444,1591.9333333333334,20.433333333333334,19.282222222222224,15.051666666666666,22.39333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000383_0,Minas Gerais,677,Aw,4,-19.201489198054773,-47.4984206478197,Pedrinopolis,8446,1574.6999999999998,4.5,21.047777777777778,18.25833333333333,22.804999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000384_0,Minas Gerais,677,Cwa,15,-19.381152254878675,-47.18401029837786,Perdizes,8452,1622.6666666666667,6.033333333333333,20.730972222222224,17.75,22.49833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000385_0,Minas Gerais,677,Cwa,15,-20.548962124234052,-45.836537372198585,Pimenta,8461,1553.1333333333332,13.766666666666667,19.882777777777775,16.1,22.281666666666673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000386_0,Minas Gerais,677,Aw,4,-16.057385703636445,-45.252632437520894,Pintopolis,8463,1008.6333333333333,1.6666666666666667,23.867499999999996,20.82,26.701666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000387_0,Minas Gerais,677,Aw,4,-19.920141425350387,-48.66623051717507,Pirajuba,8465,1530.2333333333336,12.4,23.44638888888889,20.336666666666666,25.494999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000388_0,Minas Gerais,677,Cwb,16,-22.570171513502977,-45.52212702275675,Pirangucu,8467,1723.4999999999998,26.8,17.50361111111111,13.198333333333332,21.488333333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000389_0,Minas Gerais,677,Cwa,15,-22.345592692473097,-45.56704278696272,Piranguinho,8468,1577.1666666666665,21.7,19.82333333333333,15.668333333333335,22.796666666666674,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000038a_0,Minas Gerais,677,Cwa,15,-20.459130595822103,-46.061116193228465,Piui,8473,1541.0,11.933333333333334,20.66986111111111,16.700000000000003,23.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000038b_0,Minas Gerais,677,Aw,4,-20.099804482174292,-48.66623051717507,Planura,8474,1487.8999999999996,10.433333333333334,23.69972222222222,20.585,25.685000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
